date,series_name,value
28/11/2022,Seasonality_New Year's Day BH,0
05/12/2022,Seasonality_New Year's Day BH,0
12/12/2022,Seasonality_New Year's Day BH,0
19/12/2022,Seasonality_New Year's Day BH,0
26/12/2022,Seasonality_New Year's Day BH,0
02/01/2023,Seasonality_New Year's Day BH,1
09/01/2023,Seasonality_New Year's Day BH,0
16/01/2023,Seasonality_New Year's Day BH,0
23/01/2023,Seasonality_New Year's Day BH,0
30/01/2023,Seasonality_New Year's Day BH,0
06/02/2023,Seasonality_New Year's Day BH,0
13/02/2023,Seasonality_New Year's Day BH,0
20/02/2023,Seasonality_New Year's Day BH,0
27/02/2023,Seasonality_New Year's Day BH,0
06/03/2023,Seasonality_New Year's Day BH,0
13/03/2023,Seasonality_New Year's Day BH,0
20/03/2023,Seasonality_New Year's Day BH,0
27/03/2023,Seasonality_New Year's Day BH,0
03/04/2023,Seasonality_New Year's Day BH,0
10/04/2023,Seasonality_New Year's Day BH,0
17/04/2023,Seasonality_New Year's Day BH,0
24/04/2023,Seasonality_New Year's Day BH,0
01/05/2023,Seasonality_New Year's Day BH,0
08/05/2023,Seasonality_New Year's Day BH,0
15/05/2023,Seasonality_New Year's Day BH,0
22/05/2023,Seasonality_New Year's Day BH,0
29/05/2023,Seasonality_New Year's Day BH,0
05/06/2023,Seasonality_New Year's Day BH,0
12/06/2023,Seasonality_New Year's Day BH,0
19/06/2023,Seasonality_New Year's Day BH,0
26/06/2023,Seasonality_New Year's Day BH,0
03/07/2023,Seasonality_New Year's Day BH,0
10/07/2023,Seasonality_New Year's Day BH,0
17/07/2023,Seasonality_New Year's Day BH,0
24/07/2023,Seasonality_New Year's Day BH,0
31/07/2023,Seasonality_New Year's Day BH,0
07/08/2023,Seasonality_New Year's Day BH,0
14/08/2023,Seasonality_New Year's Day BH,0
21/08/2023,Seasonality_New Year's Day BH,0
28/08/2023,Seasonality_New Year's Day BH,0
01/01/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
08/01/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
15/01/2018,"Seasonality_Martin Luther King, Jr. Day BH",1
22/01/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
29/01/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
05/02/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
12/02/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
19/02/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
26/02/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
05/03/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
12/03/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
19/03/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
26/03/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
02/04/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
09/04/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
16/04/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
23/04/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
30/04/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
07/05/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
14/05/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
21/05/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
28/05/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
04/06/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
11/06/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
18/06/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
25/06/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
02/07/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
09/07/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
16/07/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
23/07/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
30/07/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
06/08/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
13/08/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
20/08/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
27/08/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
03/09/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
10/09/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
17/09/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
24/09/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
01/10/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
08/10/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
15/10/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
22/10/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
29/10/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
05/11/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
12/11/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
19/11/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
26/11/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
03/12/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
10/12/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
17/12/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
24/12/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
31/12/2018,"Seasonality_Martin Luther King, Jr. Day BH",0
07/01/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
14/01/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
21/01/2019,"Seasonality_Martin Luther King, Jr. Day BH",1
28/01/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
04/02/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
11/02/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
18/02/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
25/02/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
04/03/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
11/03/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
18/03/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
25/03/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
01/04/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
08/04/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
15/04/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
22/04/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
29/04/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
06/05/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
13/05/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
20/05/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
27/05/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
03/06/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
10/06/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
17/06/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
24/06/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
01/07/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
08/07/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
15/07/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
22/07/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
29/07/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
05/08/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
12/08/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
19/08/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
26/08/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
02/09/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
09/09/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
16/09/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
23/09/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
30/09/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
07/10/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
14/10/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
21/10/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
28/10/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
04/11/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
11/11/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
18/11/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
25/11/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
02/12/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
09/12/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
16/12/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
23/12/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
30/12/2019,"Seasonality_Martin Luther King, Jr. Day BH",0
06/01/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
13/01/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
20/01/2020,"Seasonality_Martin Luther King, Jr. Day BH",1
27/01/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
03/02/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
10/02/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
17/02/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
24/02/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
02/03/2020,"Seasonality_Martin Luther King, Jr. Day BH",0
